indicator_id,period_start,period_end,value,last_updated
RI_3A1_domestic_co2,2005-01-01,2005-12-31,620.1,2026-07-30
RI_3A1_domestic_co2,2006-01-01,2006-12-31,609.4,2026-07-30
RI_3A1_domestic_co2,2007-01-01,2007-12-31,611,2026-07-30
RI_3A1_domestic_co2,2008-01-01,2008-12-31,584.6,2026-07-30
RI_3A1_domestic_co2,2009-01-01,2009-12-31,571.3,2026-07-30
RI_3A1_domestic_co2,2010-01-01,2010-12-31,553.6,2026-07-30
RI_3A1_domestic_co2,2011-01-01,2011-12-31,554,2026-07-30
RI_3A1_domestic_co2,2012-01-01,2012-12-31,544.9,2026-07-30
RI_3A1_domestic_co2,2013-01-01,2013-12-31,542,2026-07-30
RI_3A1_domestic_co2,2014-01-01,2014-12-31,551.7,2026-07-30
RI_3A1_domestic_co2,2015-01-01,2015-12-31,552.2,2026-07-30
RI_3A1_domestic_co2,2016-01-01,2016-12-31,562.9,2026-07-30
RI_3A1_domestic_co2,2017-01-01,2017-12-31,552.6,2026-07-30
RI_3A1_domestic_co2,2018-01-01,2018-12-31,534,2026-07-30
RI_3A1_domestic_co2,2019-01-01,2019-12-31,515.4,2026-07-30
RI_3A1_domestic_co2,2020-01-01,2020-12-31,421.4,2026-07-30
RI_3A1_domestic_co2,2021-01-01,2021-12-31,456,2026-07-30
RI_3A1_domestic_co2,2022-01-01,2022-12-31,460.8,2026-07-30
RI_3A1_domestic_co2,2023-01-01,2023-12-31,455.1,2026-07-30
RI_3A1_domestic_co2,2024-01-01,2024-12-31,451.20000000000005,2026-07-30
