indicator_id,period_start,period_end,value,last_updated
RI_3C2_price_earnings,1997-01-01,1997-12-31,3.665,2026-07-30
RI_3C2_price_earnings,1998-01-01,1998-12-31,3.8049999999999997,2026-07-30
RI_3C2_price_earnings,1999-01-01,1999-12-31,4.0125,2026-07-30
RI_3C2_price_earnings,2000-01-01,2000-12-31,4.4825,2026-07-30
RI_3C2_price_earnings,2001-01-01,2001-12-31,4.995,2026-07-30
RI_3C2_price_earnings,2002-01-01,2002-12-31,5.5875,2026-07-30
RI_3C2_price_earnings,2003-01-01,2003-12-31,6.395,2026-07-30
RI_3C2_price_earnings,2004-01-01,2004-12-31,6.905,2026-07-30
RI_3C2_price_earnings,2005-01-01,2005-12-31,7.255000000000001,2026-07-30
RI_3C2_price_earnings,2006-01-01,2006-12-31,7.2775,2026-07-30
RI_3C2_price_earnings,2007-01-01,2007-12-31,7.755,2026-07-30
RI_3C2_price_earnings,2008-01-01,2008-12-31,7.734999999999999,2026-07-30
RI_3C2_price_earnings,2009-01-01,2009-12-31,6.827500000000001,2026-07-30
RI_3C2_price_earnings,2010-01-01,2010-12-31,7.2825,2026-07-30
RI_3C2_price_earnings,2011-01-01,2011-12-31,7.282500000000001,2026-07-30
RI_3C2_price_earnings,2012-01-01,2012-12-31,7.345000000000001,2026-07-30
RI_3C2_price_earnings,2013-01-01,2013-12-31,7.23,2026-07-30
RI_3C2_price_earnings,2014-01-01,2014-12-31,7.6225000000000005,2026-07-30
RI_3C2_price_earnings,2015-01-01,2015-12-31,8.225,2026-07-30
RI_3C2_price_earnings,2016-01-01,2016-12-31,8.865,2026-07-30
RI_3C2_price_earnings,2017-01-01,2017-12-31,9.282499999999999,2026-07-30
RI_3C2_price_earnings,2018-01-01,2018-12-31,9.3525,2026-07-30
RI_3C2_price_earnings,2019-01-01,2019-12-31,9.34,2026-07-30
RI_3C2_price_earnings,2020-01-01,2020-12-31,9.145,2026-07-30
RI_3C2_price_earnings,2021-01-01,2021-12-31,10.4375,2026-07-30
RI_3C2_price_earnings,2022-01-01,2022-12-31,10.0275,2026-07-30
RI_3C2_price_earnings,2023-01-01,2023-12-31,9.77,2026-07-30
RI_3C2_price_earnings,2024-01-01,2024-12-31,9,2026-07-30
